id,slug,status,current,proposed,confidence,decision,title
"11","how-do-i-get-to-goyang-stadium","published","NEWS","TRANSPORT","1.00","apply","How Do I Get to Goyang Stadium?"
"12","how-to-book-ktx-trains-in-korea-the-ultimate-guide-to-the-korail-pass","published","NEWS","TRANSPORT","1.00","apply","How to Book KTX Trains in Korea: The Ultimate Guide to the KORAIL Pass"
"16","how-to-book-intercity-buses-online-a-complete-guide-for-travelers","published","NEWS","TRANSPORT","1.00","apply","How to Book Intercity Buses Online – A Complete Guide for Travelers"
"19","7-must-have-apps-for-living-traveling-in-korea","published","NEWS","HOW-TO","1.00","apply","7 Must-Have Apps for Living & Traveling in Korea"
"26","han-kang-korean-author-and-2024-nobel-prize-winner-in-literature","published","NEWS","K-CULTURE","1.00","apply","Han Kang: Korean Author and 2024 Nobel Prize Winner in Literature"
"27","korean-words-in-the-oxford-english-dictionary","published","NEWS","K-CULTURE","1.00","apply","Korean Words in the Oxford English Dictionary"
"28","festivals-in-september-suwon-and-seoul","published","NEWS","FESTIVAL","1.00","apply","Festivals in September, Suwon and Seoul"
"30","august-jangheung-water-festival","published","NEWS","FESTIVAL","1.00","apply","August, Jangheung Water Festival"
"31","gunsan-brews-blues-festival","published","NEWS","FESTIVAL","1.00","apply","Gunsan Brews & Blues Festival 🍻🎶"
"32","toechon-tomato-festival-in-gyeonggi-province","published","NEWS","FESTIVAL","1.00","apply","Toechon Tomato Festival in Gyeonggi Province"
"33","oliveyoung-shopping-tips-for-travelers","published","NEWS","HOW-TO","1.00","apply","Oliveyoung Shopping Tips for travelers"
"34","korea-travel-hotline","published","NEWS","HOW-TO","1.00","apply","Korea Travel Hotline"
"35","how-to-rental-and-book-wifi-in-korea-incheon-daegu-gimhae-gimpo-cheong","published","NEWS","HOW-TO","1.00","apply","How to rental and book wifi in Korea (Incheon, Daegu, Gimhae, Gimpo, Cheongju)"
"38","cash-free-bus-and-t-money-card","published","NEWS","TRANSPORT","1.00","apply","Cash Free Bus and T-money Card"
"40","how-to-stay-connected-in-korea","published","NEWS","HOW-TO","1.00","apply","How to Stay Connected in Korea"
"41","what-to-eat-poupular-snacksbunsik-in-korea","published","NEWS","FOOD","1.00","apply","What to eat : Poupular snacks(Bunsik) in Korea"
"43","how-to-use-koreas-t-money-card-on-subways-and-buses-78my","draft","Transport","TRANSPORT","1.00","apply","How to Use Korea's T-money Card on Subways and Buses"
"46","buddhas-birthday-festival-in-korea","published","NEWS","FESTIVAL","1.00","apply","Buddha's Birthday Festival in Korea"
"47","how-to-go-gyeongju-city","published","LOCALS","TRANSPORT","1.00","apply","How to go Gyeongju City?"
"50","what-is-arirang-the-meaning-behind-btss-new-song-explained","published","K-CULTURE","K-CULTURE","1.00","no change","What is Arirang? The Meaning Behind BTS’s New Song Explained"
"52","must-visit-cafes-in-seoul-a-locals-guide-by-a-korean","published","LOCALS","FOOD","1.00","apply","Must-Visit Cafes in Seoul ,  A Local’s Guide by a Korean"
